date,run,llm_score,model
1997-03-25,1,4,deepseek-chat|hawkdove-v1
1999-11-16,1,3,deepseek-chat|hawkdove-v1
2000-11-15,1,2,deepseek-chat|hawkdove-v1
2001-08-21,1,-5,deepseek-chat|hawkdove-v1
2002-06-26,1,0,deepseek-chat|hawkdove-v1
2003-06-25,1,-2,deepseek-chat|hawkdove-v1
2004-06-30,1,1,deepseek-chat|hawkdove-v1
2005-06-30,1,3,deepseek-chat|hawkdove-v1
2006-06-29,1,4,deepseek-chat|hawkdove-v1
2007-06-18,1,1,deepseek-chat|hawkdove-v1
2008-03-18,1,-5,deepseek-chat|hawkdove-v1
2009-03-18,1,-5,deepseek-chat|hawkdove-v1
2010-03-16,1,-2,deepseek-chat|hawkdove-v1
2011-01-26,1,-3,deepseek-chat|hawkdove-v1
2012-01-25,1,-4,deepseek-chat|hawkdove-v1
2012-12-12,1,-4,deepseek-chat|hawkdove-v1
2013-12-18,1,-1,deepseek-chat|hawkdove-v1
2014-12-17,1,-1,deepseek-chat|hawkdove-v1
2015-12-16,1,1,deepseek-chat|hawkdove-v1
2016-12-14,1,1,deepseek-chat|hawkdove-v1
2017-12-13,1,2,deepseek-chat|hawkdove-v1
2018-12-19,1,2,deepseek-chat|hawkdove-v1
2019-12-11,1,0,deepseek-chat|hawkdove-v1
2020-07-29,1,-3,deepseek-chat|hawkdove-v1
2021-07-28,1,-2,deepseek-chat|hawkdove-v1
2022-07-27,1,4,deepseek-chat|hawkdove-v1
2023-07-26,1,4,deepseek-chat|hawkdove-v1
2024-07-31,1,0,deepseek-chat|hawkdove-v1
2025-07-30,1,0,deepseek-chat|hawkdove-v1
2026-07-29,1,1,deepseek-chat|hawkdove-v1
1997-03-25,2,4,deepseek-chat|hawkdove-v1
1999-11-16,2,3,deepseek-chat|hawkdove-v1
2000-11-15,2,2,deepseek-chat|hawkdove-v1
2001-08-21,2,-5,deepseek-chat|hawkdove-v1
2002-06-26,2,0,deepseek-chat|hawkdove-v1
2003-06-25,2,-2,deepseek-chat|hawkdove-v1
2004-06-30,2,1,deepseek-chat|hawkdove-v1
2005-06-30,2,3,deepseek-chat|hawkdove-v1
2006-06-29,2,4,deepseek-chat|hawkdove-v1
2007-06-18,2,1,deepseek-chat|hawkdove-v1
2008-03-18,2,-5,deepseek-chat|hawkdove-v1
2009-03-18,2,-5,deepseek-chat|hawkdove-v1
2010-03-16,2,-2,deepseek-chat|hawkdove-v1
2011-01-26,2,-3,deepseek-chat|hawkdove-v1
2012-01-25,2,-4,deepseek-chat|hawkdove-v1
2012-12-12,2,-4,deepseek-chat|hawkdove-v1
2013-12-18,2,-1,deepseek-chat|hawkdove-v1
2014-12-17,2,-1,deepseek-chat|hawkdove-v1
2015-12-16,2,1,deepseek-chat|hawkdove-v1
2016-12-14,2,1,deepseek-chat|hawkdove-v1
2017-12-13,2,2,deepseek-chat|hawkdove-v1
2018-12-19,2,2,deepseek-chat|hawkdove-v1
2019-12-11,2,0,deepseek-chat|hawkdove-v1
2020-07-29,2,-3,deepseek-chat|hawkdove-v1
2021-07-28,2,-2,deepseek-chat|hawkdove-v1
2022-07-27,2,4,deepseek-chat|hawkdove-v1
2023-07-26,2,4,deepseek-chat|hawkdove-v1
2024-07-31,2,0,deepseek-chat|hawkdove-v1
2025-07-30,2,0,deepseek-chat|hawkdove-v1
2026-07-29,2,1,deepseek-chat|hawkdove-v1
1997-03-25,3,4,deepseek-chat|hawkdove-v1
1999-11-16,3,3,deepseek-chat|hawkdove-v1
2000-11-15,3,2,deepseek-chat|hawkdove-v1
2001-08-21,3,-5,deepseek-chat|hawkdove-v1
2002-06-26,3,0,deepseek-chat|hawkdove-v1
2003-06-25,3,-2,deepseek-chat|hawkdove-v1
2004-06-30,3,1,deepseek-chat|hawkdove-v1
2005-06-30,3,3,deepseek-chat|hawkdove-v1
2006-06-29,3,4,deepseek-chat|hawkdove-v1
2007-06-18,3,1,deepseek-chat|hawkdove-v1
2008-03-18,3,-5,deepseek-chat|hawkdove-v1
2009-03-18,3,-5,deepseek-chat|hawkdove-v1
2010-03-16,3,-2,deepseek-chat|hawkdove-v1
2011-01-26,3,-3,deepseek-chat|hawkdove-v1
2012-01-25,3,-4,deepseek-chat|hawkdove-v1
2012-12-12,3,-4,deepseek-chat|hawkdove-v1
2013-12-18,3,-1,deepseek-chat|hawkdove-v1
2014-12-17,3,-1,deepseek-chat|hawkdove-v1
2015-12-16,3,1,deepseek-chat|hawkdove-v1
2016-12-14,3,1,deepseek-chat|hawkdove-v1
2017-12-13,3,2,deepseek-chat|hawkdove-v1
2018-12-19,3,2,deepseek-chat|hawkdove-v1
